Altium Designer Pick and Place Locations
C:\Zolotarev_Aleksandr\Desktop\npcprom\DI\DI\Project Outputs for DI\Pick Place for ≈– ‘.758725.093ƒ11_ÃŒ— .txt

========================================================================================================================
File Design Information:

Date:       20.09.20
Time:       11:47
Revision:   3010f6eac535ec3fecae375260726ed3035bf835
Variant:    No variations
Units used: mm

Designator  Comment                              Layer       Footprint                          Center-X(mm) Center-Y(mm) Rotation Description                                                      
ZL1_U_PROC2 KVARTZ_32                            TopLayer    zm206                              98.2123      154.7377     270      ""                                                               
ZL1_U_PROC1 KVARTZ_32                            TopLayer    zm206                              98.0168      123.3950     270      ""                                                               
X8          PLS-4R                               TopLayer    pls-4r                             94.9250      142.8100     180      ""                                                               
R16         1k                                   TopLayer    0805-res                           75.2701      153.8332     90       ""                                                               
R12         1k                                   TopLayer    0805-res                           72.8451      157.6335     90       ""                                                               
VD31        Diod_sv_L-7104F0                     TopLayer    L-7104_                            73.1800      195.3555     270      ""                                                               
VD29        Diod_sv_L-7104F0                     TopLayer    L-7104_                            77.7800      195.3555     270      ""                                                               
VD26        Diod_sv_L-7104F0                     TopLayer    L-7104_                            82.3550      195.3555     270      ""                                                               
XP1         "TBUS8-25,0-PPPPPPSS-7035 - 2202895" TopLayer    TBUS8-25,0-PPPPPPSS-7035_-_2202895 102.0498     105.9503     270      "TBUS8-25,0-PPPPPPSS-7035 - 2202895"                             
ZQ2         ESX-53-DU                            TopLayer    ECX-53B-DU                         104.5750     153.5500     270      Crystal                                                          
ZQ1         ESX-53-DU                            TopLayer    ECX-53B-DU                         105.0750     121.3750     270      Crystal                                                          
X15         PLD-6                                TopLayer    PLD6                               116.5800     166.7750     0        ""                                                               
X14         pls2x2.54                            TopLayer    pls2x2.54                          104.5000     178.5800     270      ""                                                               
X13         PLS-4R                               TopLayer    pls-4r                             95.1750      172.5600     180      ""                                                               
X12         miniUSB                              TopLayer    miniUSB                            109.1244     197.3377     270      ""                                                               
X11         pls2x2.54                            TopLayer    pls2x2.54                          95.2250      162.9950     90       ""                                                               
X10         PLD-6                                TopLayer    PLD6                               117.9950     135.8100     0        ""                                                               
X9          pls2x2.54                            TopLayer    pls2x2.54                          104.7500     146.5450     90       ""                                                               
X7          miniUSB                              TopLayer    miniUSB                            120.4123     197.3377     270      ""                                                               
X6          pls2x2.54                            TopLayer    pls2x2.54                          94.9000      133.1200     90       ""                                                               
X5          pxc_2203902/3                        BottomLayer pxc_2203903                        59.5996      182.0164     360      pxc_2203902/3                                                    
X4          pxc_2203902/3                        BottomLayer pxc_2203903                        59.5995      137.1250     360      pxc_2203902/3                                                    
X3          pxc_2203902/3                        BottomLayer pxc_2203903                        59.5996      159.5500     360      pxc_2203902/3                                                    
X2          pxc_2203902/3                        BottomLayer pxc_2203902                        151.7755     160.1998     180      pxc_2203902/3                                                    
X1          pxc_2203902/3                        BottomLayer pxc_2203902                        151.7877     182.6480     180      pxc_2203902/3                                                    
VT1         6N7002                               TopLayer    sot-23-6                           84.4500      153.6750     270      ""                                                               
VD48        1N4448W                              TopLayer    SOD-123                            78.0750      114.9000     180      ""                                                               
VD47        1N4448W                              TopLayer    SOD-123                            148.3250     176.2250     270      ""                                                               
VD46        MMSZ5252BT1G                         TopLayer    SOD-123                            148.4000     194.4000     90       "MMSZ5252BT1G, —Ú‡·ËÎËÚÓÌ 0.5¬Ú 24¬"                            
VD45        PTVS33VS1UTR                         TopLayer    SOD-123                            145.5508     176.2254     270      "PTVS33VS1UTR,115, TVS DIODE 33VWM 53.3VC SOD123W"               
VD44        1N4448                               TopLayer    sod-323                            68.5503      153.8997     180      ""                                                               
VD43        PTVS33VS1UTR                         TopLayer    SOD-123                            64.5747      152.7754     360      "PTVS33VS1UTR,115, TVS DIODE 33VWM 53.3VC SOD123W"               
VD42        1N4448                               TopLayer    sod-323                            68.6747      149.4004     360      ""                                                               
VD41        1N4448                               TopLayer    sod-323                            68.5253      155.4745     180      ""                                                               
VD40        PTVS33VS1UTR                         TopLayer    SOD-123                            64.4997      160.0755     360      "PTVS33VS1UTR,115, TVS DIODE 33VWM 53.3VC SOD123W"               
VD39        1N4448                               TopLayer    sod-323                            68.6247      160.2255     360      ""                                                               
VD32        Diod_sv_L-7104F0                     TopLayer    L-7104_                            68.5550      195.3555     270      ""                                                               
VD30        Diod_sv_L-7104F0                     TopLayer    L-7104_                            86.9300      195.3555     270      ""                                                               
VD28        Diod_sv_L-7104F0                     TopLayer    L-7104_                            91.5300      195.3555     270      ""                                                               
VD25        Diod_sv_L-7104F0                     TopLayer    L-7104_                            100.7309     195.3555     270      ""                                                               
VD27        Diod_sv_L-7104F0                     TopLayer    L-7104_                            96.1300      195.3555     270      ""                                                               
VD24        1N4448                               TopLayer    sod-323                            70.4492      162.8491     90       ""                                                               
VD23        1N4448                               TopLayer    sod-323                            70.4492      166.4741     90       ""                                                               
VD22        1N4448                               TopLayer    sod-323                            70.4492      170.1250     90       ""                                                               
VD21        1N4448                               TopLayer    sod-323                            70.4492      173.8741     90       ""                                                               
VD20        1N4448                               TopLayer    sod-323                            70.4239      177.6241     90       ""                                                               
VD19        1N4448                               TopLayer    sod-323                            70.4239      181.2491     90       ""                                                               
VD18        1N4448                               TopLayer    sod-323                            70.4239      184.9000     90       ""                                                               
VD17        1N4448                               TopLayer    sod-323                            70.4239      188.6491     90       ""                                                               
VD16        1N4448                               TopLayer    sod-323                            70.7239      120.9987     90       ""                                                               
VD15        1N4448                               TopLayer    sod-323                            70.7239      124.6237     90       ""                                                               
VD14        1N4448                               TopLayer    sod-323                            70.7239      128.2747     90       ""                                                               
VD13        1N4448                               TopLayer    sod-323                            70.7239      132.0237     90       ""                                                               
VD12        1N4448                               TopLayer    sod-323                            70.7489      135.7488     90       ""                                                               
VD11        1N4448                               TopLayer    sod-323                            70.7489      139.3738     90       ""                                                               
VD10        1N4448                               TopLayer    sod-323                            70.7489      143.0247     90       ""                                                               
VD9         1N4448                               TopLayer    sod-323                            70.7489      146.7738     90       ""                                                               
VD8         Diod_sv_L-7104F0                     TopLayer    L-7104_                            128.8300     195.2300     270      ""                                                               
VD7         PTVS33VS1UTR                         TopLayer    SOD-123                            148.1497     145.9245     90       "PTVS33VS1UTR,115, TVS DIODE 33VWM 53.3VC SOD123W"               
VD6         PTVS33VS1UTR                         TopLayer    SOD-123                            146.3497     145.8495     90       "PTVS33VS1UTR,115, TVS DIODE 33VWM 53.3VC SOD123W"               
